reporting_unit,municipality,contest,candidate,votes,county,ctv
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 49,SCOTT A. WALKER,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 49,TRAVIS TRANEL,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 49,DIST 49 SCATTERING,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 51,ELIZABETH GRABE,62,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 51,TODD NOVAK,155,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DIST 51,DIST 51 SCATTERING,0,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DA,RYAN KIELER,196,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,DA,DA SCATTERING,0,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,COUNTY CLERK,TONYA WHITE,196,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,COUNTY TREASURER,CARRIE EASTLICK,197,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,REGISTER OF DEEDS,ANDREA L. NOETHE,195,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,ELIGIBILITY TO VOTE,YES,177,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,ELIGIBILITY TO VOTE,NO,41,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATTERSTOWN WARDS 1-2,WATTERSTOWN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,KAMALA D. HARRIS TIM WALZ,97,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,DONALD J. TRUMP JD VANCE,260,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,1,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,JILL STEIN RUDOLPH WARE,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",3,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,PETER SONSKI,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PRESIDENT,PRESIDENTSCATTERING,2,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,TAMMY BALDWIN,103,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,ERIC HOVDE,253,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,PHIL ANDERSON,2,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,THOMAS LEAGER,2,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,SENATOR,SENATOR SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,CONGRESS,REBECCA COOKE,105,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,CONGRESS,DERRICK VAN ORDEN,248,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,CONGRESS,CONGRESS SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 49,SCOTT A. WALKER,86,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 49,TRAVIS TRANEL,271,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 49,DIST 49 SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 51,ELIZABETH GRABE,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 51,TODD NOVAK,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DIST 51,DIST 51 SCATTERING,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DA,RYAN KIELER,314,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,DA,DA SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,COUNTY CLERK,TONYA WHITE,311,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,COUNTY TREASURER,CARRIE EASTLICK,318,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,REGISTER OF DEEDS,ANDREA L. NOETHE,313,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,ELIGIBILITY TO VOTE,YES,291,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,ELIGIBILITY TO VOTE,NO,63,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,48,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,46,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF WATERLOO WARD 1,WATERLOO,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,KAMALA D. HARRIS TIM WALZ,34,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,DONALD J. TRUMP JD VANCE,63,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,2,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,JILL STEIN RUDOLPH WARE,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,PETER SONSKI,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,TAMMY BALDWIN,39,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,ERIC HOVDE,56,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,PHIL ANDERSON,2,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,THOMAS LEAGER,2,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,SENATOR,SENATOR SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,CONGRESS,REBECCA COOKE,35,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,CONGRESS,DERRICK VAN ORDEN,60,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,CONGRESS,CONGRESS SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 49,SCOTT A. WALKER,27,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 49,TRAVIS TRANEL,69,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 49,DIST 49 SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 51,ELIZABETH GRABE,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 51,TODD NOVAK,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DIST 51,DIST 51 SCATTERING,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DA,RYAN KIELER,78,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,DA,DA SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,COUNTY CLERK,TONYA WHITE,80,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,COUNTY TREASURER,CARRIE EASTLICK,79,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,REGISTER OF DEEDS,ANDREA L. NOETHE,78,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,ELIGIBILITY TO VOTE,YES,71,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,ELIGIBILITY TO VOTE,NO,23,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,44,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,55,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF MILLVILLE WARD 1,MILLVILLE,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,KAMALA D. HARRIS TIM WALZ,61,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,DONALD J. TRUMP JD VANCE,169,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,JILL STEIN RUDOLPH WARE,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",2,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,PETER SONSKI,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,TAMMY BALDWIN,72,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,ERIC HOVDE,154,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,PHIL ANDERSON,5,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,THOMAS LEAGER,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,SENATOR,SENATOR SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,CONGRESS,REBECCA COOKE,68,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,CONGRESS,DERRICK VAN ORDEN,157,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,CONGRESS,CONGRESS SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 49,SCOTT A. WALKER,41,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 49,TRAVIS TRANEL,191,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 49,DIST 49 SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 51,ELIZABETH GRABE,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 51,TODD NOVAK,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DIST 51,DIST 51 SCATTERING,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DA,RYAN KIELER,205,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,DA,DA SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,COUNTY CLERK,TONYA WHITE,208,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,COUNTY TREASURER,CARRIE EASTLICK,208,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,COUNTY TREASURER,COUNTY TREASURER SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,REGISTER OF DEEDS,ANDREA L. NOETHE,209,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,REGISTER OF DEEDS,REGISTER OF DEEDS SCATTERING,0,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,ELIGIBILITY TO VOTE,YES,191,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,ELIGIBILITY TO VOTE,NO,28,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,PLATTEVILLE SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,IOWA-GRANT SCHOOL DISTRICT EXCEED REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,YES,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,POTOSI SCHOOL DISTRICT GENERAL OBLIGATION BONDS,NO,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,YES,54,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,RIVER RIDGE SCHOOL DISTRICT EXCEED REVENUE LIMITS,NO,65,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,YES,NA,GRANT,T
TOWN OF GLEN HAVEN WARD 1,GLEN HAVEN,CUBA CITY SCHOOL DISTRICT EXCEED THE REVENUE LIMIT,NO,NA,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,KAMALA D. HARRIS TIM WALZ,132,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,DONALD J. TRUMP JD VANCE,280,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,RANDALL TERRY STEPHEN BRODEN,1,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,CHASE RUSSELL OLIVER MIKE TER MAAT,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,JILL STEIN RUDOLPH WARE,2,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,CLAUDIA DE LA CRUZ KARINA GARCIA,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,CORNEL WEST MELINA ABDULLAH,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,"ROBERT F. KENNEDY, JR. NICOLE SHANAHAN",1,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,PETER SONSKI,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,CHERUNDA LYNN FOX (WRITE-IN),0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,BRIAN KIENITZ (WRITE-IN),0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-IN),0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,"ANDRÉ RAMONE MCNEIL, SR. (WRITE-IN)",0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,PRESIDENT,PRESIDENTSCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,TAMMY BALDWIN,132,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,ERIC HOVDE,271,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,PHIL ANDERSON,2,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,THOMAS LEAGER,5,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,JOHN SCHIESS (WRITE-IN),0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,SENATOR,SENATOR SCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,CONGRESS,REBECCA COOKE,126,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,CONGRESS,DERRICK VAN ORDEN,273,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,CONGRESS,CONGRESS SCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 49,SCOTT A. WALKER,94,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 49,TRAVIS TRANEL,317,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 49,DIST 49 SCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 51,ELIZABETH GRABE,NA,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 51,TODD NOVAK,NA,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DIST 51,DIST 51 SCATTERING,NA,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DA,RYAN KIELER,356,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,DA,DA SCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,COUNTY CLERK,TONYA WHITE,354,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,COUNTY CLERK,COUNTY CLERK SCATTERING,0,GRANT,T
TOWN OF SOUTH LANCASTER WARDS 1-2,SOUTH LANCASTER,COUNTY TREASURER,CARRIE EASTLICK,356,GRANT,T
