reporting_unit,contest,candidate,votes,county,municipality,ctv
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,1230,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,3,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",8,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,PRESIDENTIAL,SCATTERING,3,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,TAMMY BALDWIN,621,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,ERIC HOVDE,1195,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,PHIL ANDERSON,11,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,THOMAS LEAGER,14,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,U.S. SENATOR,SCATTERING,4,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,544,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,1271,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,CONGRESSIONAL_DISTRICT 7,SCATTERING,2,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,538,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,1260,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,3,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",518,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,1303,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,1,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,1371,VILAS,LINCOLN,T
LINCOLN - WARDS 1 - 5,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,10,VILAS,LINCOLN,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,171,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,387,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,2,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,1,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",3,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,PRESIDENTIAL,SCATTERING,1,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,TAMMY BALDWIN,171,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,ERIC HOVDE,390,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,PHIL ANDERSON,2,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,THOMAS LEAGER,2,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,U.S. SENATOR,SCATTERING,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,153,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,409,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,142,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,409,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",137,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,414,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,373,VILAS,MANITOWISH WATERS,T
MANITOWISH WATERS - WARD 1,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,5,VILAS,MANITOWISH WATERS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,306,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,637,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,2,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,1,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",1,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,1,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,305,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,619,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,11,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,4,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,U.S. SENATOR,SCATTERING,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,270,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,658,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,1,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,263,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,659,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",255,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,672,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,670,VILAS,PHELPS,T
PHELPS - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,2,VILAS,PHELPS,T
PLUM LAKE - WARD 1,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,168,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,295,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,1,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,1,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",1,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,PRESIDENTIAL,SCATTERING,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,TAMMY BALDWIN,176,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,ERIC HOVDE,274,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,PHIL ANDERSON,9,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,THOMAS LEAGER,5,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,U.S. SENATOR,SCATTERING,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,157,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,301,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,150,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,302,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",154,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,298,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,320,VILAS,PLUM LAKE,T
PLUM LAKE - WARD 1,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,0,VILAS,PLUM LAKE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,262,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,370,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,3,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,1,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",1,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,PRESIDENTIAL,SCATTERING,2,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,TAMMY BALDWIN,252,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,ERIC HOVDE,374,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,PHIL ANDERSON,3,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,THOMAS LEAGER,5,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,U.S. SENATOR,SCATTERING,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,233,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,392,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,228,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,397,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",228,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,399,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,0,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,416,VILAS,PRESQUE ISLE,T
PRESQUE ISLE - WARD 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,4,VILAS,PRESQUE ISLE,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,562,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,980,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,4,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,3,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,2,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",10,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,"ANDRE RAMONE MCNEIL, SR. (WRITE-IN)",0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,PRESIDENTIAL,SCATTERING,6,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,TAMMY BALDWIN,573,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,ERIC HOVDE,957,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,PHIL ANDERSON,16,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,THOMAS LEAGER,11,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,JOHN SCHIESS (WRITE-IN),0,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,U.S. SENATOR,SCATTERING,3,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,KYLE KILBOURN,512,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,TOM TIFFANY,1022,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,CONGRESSIONAL_DISTRICT 7,SCATTERING,1,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,ANDI RICH,500,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,MARY FELZKOWSKI,1014,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE SENATOR DIST. 12_DISTRICT 7,SCATTERING,1,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,"DENNIS NITZEL, SR.",494,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,ROB SWEARINGEN,1035,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,STATE ASSEMBLY DIST. 34_DISTRICT 7,SCATTERING,1,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,KARL P. HAYES,1134,VILAS,ST GERMAIN,T
ST GERMAIN - WARDS 1 & 2,DISTRICT ATTORNEY_DISTRICT 7,SCATTERING,4,VILAS,ST GERMAIN,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,KAMALA D. HARRIS / TIM WALZ,395,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,DONALD J. TRUMP / JD VANCE,825,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,RANDALL TERRY / STEPHEN BRODEN,0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,CHASE RUSSELL OLIVER / MIKE TER MAAT,2,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,JILL STEIN / RUDOLPH WARE,2,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,CLAUDIA DE LA CRUZ / KARINA GARCIA,0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,CORNEL WEST / MELINA ABDULLAH,1,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,"ROBERT F. KENNEDY, JR. / NICOLE SHANANHA",8,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,CHERUNDA LYNN FOX (WRITE-IN),0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,BRIAN KIENITZ (WRITE-IN),0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN,0,VILAS,WASHINGTON,T
WASHINGTON - WARDS 1 - 3,PRESIDENTIAL,FUTURE MADAM POTUS / JESSICA KENNEDY (,0,VILAS,WASHINGTON,T
