reporting_unit,contest,candidate,votes,county,municipality,ctv
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),47,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,CASWELL,T
"CASWELL, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),14,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),43,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),2,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),1,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),12,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),47,FOREST,CASWELL,T
"CASWELL, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),13,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),43,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),13,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),45,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),41,FOREST,CASWELL,T
"CASWELL, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,1,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),53,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,1,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),53,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),54,FOREST,CASWELL,T
"CASWELL, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,CASWELL,T
"CASWELL, WARD 1",STATE_REFERENDUM,YES,51,FOREST,CASWELL,T
"CASWELL, WARD 1",STATE_REFERENDUM,NO,7,FOREST,CASWELL,T
"CASWELL, WARD 1",SCHOOL_REFERENDUM,YES,NA,FOREST,CASWELL,T
"CASWELL, WARD 1",SCHOOL_REFERENDUM,NO,NA,FOREST,CASWELL,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),111,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),247,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),1,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),133,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),221,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),1,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),2,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),102,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),255,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),113,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),241,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),107,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),245,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),272,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),305,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_COUNTY CLERK,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),321,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),312,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",STATE_REFERENDUM,YES,296,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",STATE_REFERENDUM,NO,50,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",SCHOOL_REFERENDUM,YES,NA,FOREST,CRANDON,T
"TOWN OF CRANDON, WARDS 1 & 2",SCHOOL_REFERENDUM,NO,NA,FOREST,CRANDON,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),76,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),166,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),1,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),83,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),159,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),1,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),67,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),173,FOREST,FREEDOM,T
"FREEDOM, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),71,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),169,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),66,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),173,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),176,FOREST,FREEDOM,T
"FREEDOM, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),205,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),209,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),214,FOREST,FREEDOM,T
"FREEDOM, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,FREEDOM,T
"FREEDOM, WARD 1",STATE_REFERENDUM,YES,197,FOREST,FREEDOM,T
"FREEDOM, WARD 1",STATE_REFERENDUM,NO,38,FOREST,FREEDOM,T
"FREEDOM, WARD 1",SCHOOL_REFERENDUM,YES,NA,FOREST,FREEDOM,T
"FREEDOM, WARD 1",SCHOOL_REFERENDUM,NO,NA,FOREST,FREEDOM,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),81,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),183,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",1,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,"ANDRE' RAMONE MCNEIL, SR. (INDEPENDENT) (WRITE-IN)",0,FOREST,HILES,T
"HILES, WARD 1",FEDERAL_PRESIDENT/VICE PRESIDENT,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,TAMMY BALDWIN (DEMOCRATIC),78,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,ERIC HOVDE (REPUBLICAN),182,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,PHIL ANDERSON (DISRUPT THE CORRUPTION),0,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,THOMAS LEAGER (AMERICA FIRST),4,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,JOHN SCHIESS (INDEPENDENT) (WRITE-IN),0,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_UNITED STATES SENATOR,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,KYLE KILBOURN (DEMOCRATIC),74,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,TOM TIFFANY (REPUBLICAN),187,FOREST,HILES,T
"HILES, WARD 1",CONGRESSIONAL_REPRESENTATIVE IN CONGRESS DISTRICT #7,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,ANDI RICH (DEMOCRATIC),65,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,MARY FELZKOWSKI (REPUBLICAN),190,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_STATE SENATOR DISTRICT #12,SCATTERING,1,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,BEN MURRAY (DEMOCRATIC),71,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,JEFFREY L. MURSAU (REPUBLICAN),186,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_REPRESENTATIVE TO ASSEMBLY DISTRICT #36,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,ALEX SEIFERT (INDEPENDENT),193,FOREST,HILES,T
"HILES, WARD 1",LEGISLATIVE AND STATE_DISTRICT ATTORNEY,SCATTERING,2,FOREST,HILES,T
"HILES, WARD 1",COUNTY_COUNTY CLERK,NORA MATUSZEWSKI (REPUBLICAN),221,FOREST,HILES,T
"HILES, WARD 1",COUNTY_COUNTY CLERK,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",COUNTY_COUNTY TREASURER,CHRISTY CONLEY (REPUBLICAN),219,FOREST,HILES,T
"HILES, WARD 1",COUNTY_COUNTY TREASURER,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",COUNTY_REGISTER OF DEEDS,CORTNEY BRITTEN CLEEREMAN (REPUBLICAN),221,FOREST,HILES,T
"HILES, WARD 1",COUNTY_REGISTER OF DEEDS,SCATTERING,0,FOREST,HILES,T
"HILES, WARD 1",STATE_REFERENDUM,YES,206,FOREST,HILES,T
"HILES, WARD 1",STATE_REFERENDUM,NO,55,FOREST,HILES,T
"HILES, WARD 1",SCHOOL_REFERENDUM,YES,NA,FOREST,HILES,T
"HILES, WARD 1",SCHOOL_REFERENDUM,NO,NA,FOREST,HILES,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ (DEMOCRATIC),214,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/JD VANCE (REPUBLICAN),461,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN (CONSTITUTION),0,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,CHASE RUSSELL OLIVER/MIKE TER MAAT (LIBERTARIAN),1,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE (WISCONSIN GREEN),1,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA (PARTY FOR SOCIALISM AND LIBERATION),0,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,CORNELL WEST/MELINA ABDULLAH (JUSTICE FOR ALL),0,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN (WE THE PEOPLE)",0,FOREST,LAONA,T
"LAONA, WARDS 1, 2, 3 & 4",FEDERAL_PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (INDEPENDENT) (WRITE-IN),0,FOREST,LAONA,T
