reporting_unit,contest,votes,candidate,county,ctv,municipality
T MT MORRIS,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",0,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,3,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,MOUNT MORRIS
T MT MORRIS,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,MOUNT MORRIS
T OASIS,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,66,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,197,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,OASIS
T OASIS,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",1,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,OASIS
T OASIS,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,OASIS
T OASIS,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,OASIS
T OASIS,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,OASIS
T OASIS,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,OASIS
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,68,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,222,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,1,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",2,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,PLAINFIELD
T PLAINFIELD,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,PLAINFIELD
T POY SIPPI,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,126,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,442,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,4,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,POY SIPPI
T POY SIPPI,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,POY SIPPI
T POY SIPPI,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,POY SIPPI
T POY SIPPI,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,POY SIPPI
T RICHFORD,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,68,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,279,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,1,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,4,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,RICHFORD
T RICHFORD,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,RICHFORD
T RICHFORD,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,RICHFORD
T RICHFORD,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,RICHFORD
T ROSE,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,145,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,272,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,2,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,ROSE
T ROSE,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",3,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,ROSE
T ROSE,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,ROSE
T ROSE,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,ROSE
T ROSE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,ROSE
T ROSE,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,ROSE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,221,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,466,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,0,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,2,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",9,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN DOUG JENKINS / KIMBERLY LALONDE INDEPENDENT,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN FUTURE MADAM POTUS / JESSICA KENNEDY INDEPENDENT,WAUSHARA,T,SAXEVILLE
T SAXEVILLE,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",0,"PRESIDENT REGISTERED WRITE-IN ANDRE RAMONE MCNEIL, SR. INDEPENDENT",WAUSHARA,T,SAXEVILLE
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,354,PRESIDENT/ VICE PRESIDENT KAMALA D. HARRIS / TIM WALZ DEMOCRATIC,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,586,PRESIDENT/ VICE PRESIDENT DONALD J. TRUMP/ JD VANCE REPUBLICAN,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,1,PRESIDENT/ VICE PRESIDENT RANDALL TERRY / STEPHEN BRODEN CONSTITUTION,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,4,PRESIDENT/ VICE PRESIDENT CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,2,PRESIDENT/ VICE PRESIDENT JILL STEIN / RUDOLPH WARE WISCONSIN GREEN,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/ VICE PRESIDENT CLAUDIA DE LA CRUZ / KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/ VICE PRESIDENT CORNEL WEST / MELINA ABDULLAH JUSTICE FOR ALL,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",5,"PRESIDENT/ VICE PRESIDENT ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN WE THE PEOPLE",WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,0,PRESIDENT/ VICE PRESIDENT REGISTERED WRITE-IN PETER SONSKI / LAUREN ONAK INDEPENDENT,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN CHERUNDA LYNN FOX INDEPENDENT,WAUSHARA,T,SPRINGWATER
T SPRINGWATER,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,0,PRESIDENT REGISTERED WRITE-IN BRIAN KIENITZ INDEPENDENT,WAUSHARA,T,SPRINGWATER
