candidate,votes,contest,reporting_unit,municipality,ctv,county
CHANZ J GREEN REPUBLICAN,132,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SHERMAN,SHERMAN,T,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,SHERMAN,SHERMAN,T,IRON
MATTHEW J. TINGSTAD,159,DISTRICT ATTORNEY,SHERMAN,SHERMAN,T,IRON
WRITE-IN,0,DISTRICT ATTORNEY,SHERMAN,SHERMAN,T,IRON
YES,161,STATE QUESTION 1,SHERMAN,SHERMAN,T,IRON
NO,47,STATE QUESTION 1,SHERMAN,SHERMAN,T,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,83,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,89,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,55,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,76,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,153,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,126,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,94,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,124,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,1,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,1,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,2,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,0,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,0,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
WRITE - IN,2,PRESIDENT/VICE PRESIDENT,HURLEY W1,HURLEY,C,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,HURLEY W2,HURLEY,C,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,HURLEY W3,HURLEY,C,IRON
WRITE - IN,0,PRESIDENT/VICE PRESIDENT,HURLEY W4,HURLEY,C,IRON
TAMMY BALDWIN DEMOCRATIC,88,UNITED STATES SENATOR,HURLEY W1,HURLEY,C,IRON
TAMMY BALDWIN DEMOCRATIC,91,UNITED STATES SENATOR,HURLEY W2,HURLEY,C,IRON
TAMMY BALDWIN DEMOCRATIC,57,UNITED STATES SENATOR,HURLEY W3,HURLEY,C,IRON
TAMMY BALDWIN DEMOCRATIC,74,UNITED STATES SENATOR,HURLEY W4,HURLEY,C,IRON
ERIC HOVDE REPUBLICAN,142,UNITED STATES SENATOR,HURLEY W1,HURLEY,C,IRON
ERIC HOVDE REPUBLICAN,119,UNITED STATES SENATOR,HURLEY W2,HURLEY,C,IRON
ERIC HOVDE REPUBLICAN,87,UNITED STATES SENATOR,HURLEY W3,HURLEY,C,IRON
ERIC HOVDE REPUBLICAN,120,UNITED STATES SENATOR,HURLEY W4,HURLEY,C,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,1,UNITED STATES SENATOR,HURLEY W1,HURLEY,C,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,3,UNITED STATES SENATOR,HURLEY W2,HURLEY,C,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,2,UNITED STATES SENATOR,HURLEY W3,HURLEY,C,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,2,UNITED STATES SENATOR,HURLEY W4,HURLEY,C,IRON
THOMAS LEAGER AMERICA FIRST,5,UNITED STATES SENATOR,HURLEY W1,HURLEY,C,IRON
THOMAS LEAGER AMERICA FIRST,2,UNITED STATES SENATOR,HURLEY W2,HURLEY,C,IRON
THOMAS LEAGER AMERICA FIRST,2,UNITED STATES SENATOR,HURLEY W3,HURLEY,C,IRON
THOMAS LEAGER AMERICA FIRST,2,UNITED STATES SENATOR,HURLEY W4,HURLEY,C,IRON
WRITE -IN,0,UNITED STATES SENATOR,HURLEY W1,HURLEY,C,IRON
WRITE -IN,0,UNITED STATES SENATOR,HURLEY W2,HURLEY,C,IRON
WRITE -IN,0,UNITED STATES SENATOR,HURLEY W3,HURLEY,C,IRON
WRITE -IN,0,UNITED STATES SENATOR,HURLEY W4,HURLEY,C,IRON
KYLE KILBOURN DEMOCRATIC,88,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W1,HURLEY,C,IRON
KYLE KILBOURN DEMOCRATIC,77,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W2,HURLEY,C,IRON
KYLE KILBOURN DEMOCRATIC,54,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W3,HURLEY,C,IRON
KYLE KILBOURN DEMOCRATIC,65,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W4,HURLEY,C,IRON
TOM TIFFANY REPUBLICAN,143,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W1,HURLEY,C,IRON
TOM TIFFANY REPUBLICAN,133,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W2,HURLEY,C,IRON
TOM TIFFANY REPUBLICAN,89,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W3,HURLEY,C,IRON
TOM TIFFANY REPUBLICAN,128,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W4,HURLEY,C,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W1,HURLEY,C,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W2,HURLEY,C,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W3,HURLEY,C,IRON
WRITE-IN,0,REPRESENTATIVE IN CONGRESS DISTRICT 7,HURLEY W4,HURLEY,C,IRON
JEANNE RAND BRUCE DEMOCATIC,82,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W1,HURLEY,C,IRON
JEANNE RAND BRUCE DEMOCATIC,78,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W2,HURLEY,C,IRON
JEANNE RAND BRUCE DEMOCATIC,52,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W3,HURLEY,C,IRON
JEANNE RAND BRUCE DEMOCATIC,63,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W4,HURLEY,C,IRON
CHANZ J GREEN REPUBLICAN,145,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W1,HURLEY,C,IRON
CHANZ J GREEN REPUBLICAN,133,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W2,HURLEY,C,IRON
CHANZ J GREEN REPUBLICAN,90,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W3,HURLEY,C,IRON
CHANZ J GREEN REPUBLICAN,127,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W4,HURLEY,C,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W1,HURLEY,C,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W2,HURLEY,C,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W3,HURLEY,C,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,HURLEY W4,HURLEY,C,IRON
MATTHEW J. TINGSTAD,171,DISTRICT ATTORNEY,HURLEY W1,HURLEY,C,IRON
MATTHEW J. TINGSTAD,168,DISTRICT ATTORNEY,HURLEY W2,HURLEY,C,IRON
MATTHEW J. TINGSTAD,110,DISTRICT ATTORNEY,HURLEY W3,HURLEY,C,IRON
MATTHEW J. TINGSTAD,153,DISTRICT ATTORNEY,HURLEY W4,HURLEY,C,IRON
WRITE-IN,3,DISTRICT ATTORNEY,HURLEY W1,HURLEY,C,IRON
WRITE-IN,6,DISTRICT ATTORNEY,HURLEY W2,HURLEY,C,IRON
WRITE-IN,2,DISTRICT ATTORNEY,HURLEY W3,HURLEY,C,IRON
WRITE-IN,3,DISTRICT ATTORNEY,HURLEY W4,HURLEY,C,IRON
YES,172,STATE QUESTION 1,HURLEY W1,HURLEY,C,IRON
YES,161,STATE QUESTION 1,HURLEY W2,HURLEY,C,IRON
YES,99,STATE QUESTION 1,HURLEY W3,HURLEY,C,IRON
YES,146,STATE QUESTION 1,HURLEY W4,HURLEY,C,IRON
NO,52,STATE QUESTION 1,HURLEY W1,HURLEY,C,IRON
NO,43,STATE QUESTION 1,HURLEY W2,HURLEY,C,IRON
NO,33,STATE QUESTION 1,HURLEY W3,HURLEY,C,IRON
NO,38,STATE QUESTION 1,HURLEY W4,HURLEY,C,IRON
KAMALA D. HARRIS/ TIM WALZ DEMOCATIC,227,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
DONALD J. TRUMP/JD VANCE REPUBLICAN,273,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
RANDALL TERRY/STEPHEN BRODEN CONSITITUTION,0,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
CHASE RUSSELL OLIVER / MIKE TER MAAT LIBERTARIAN,0,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
JILL STEIN/RUDOLPH WARE WISCONSIN GREEN,0,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
CLAUDIA DE LA CRUZ/KARINA GARCIA PARTY FOR SOCIALISM AND LIBERATION,1,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
CORNEL WEST/MELINA ABDULLAH JUSTICE FOR ALL,2,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN WE THE PEOPLE",1,PRESIDENT/VICE PRESIDENT,MONTREAL,MONTREAL,C,IRON
TAMMY BALDWIN DEMOCRATIC,230,UNITED STATES SENATOR,MONTREAL,MONTREAL,C,IRON
ERIC HOVDE REPUBLICAN,252,UNITED STATES SENATOR,MONTREAL,MONTREAL,C,IRON
PHIL ANDERSON DISRUPT THE CORRUPTION,5,UNITED STATES SENATOR,MONTREAL,MONTREAL,C,IRON
THOMAS LEAGER AMERICA FIRST,6,UNITED STATES SENATOR,MONTREAL,MONTREAL,C,IRON
KYLE KILBOURN DEMOCRATIC,206,REPRESENTATIVE IN CONGRESS DISTRICT 7,MONTREAL,MONTREAL,C,IRON
TOM TIFFANY REPUBLICAN,275,REPRESENTATIVE IN CONGRESS DISTRICT 7,MONTREAL,MONTREAL,C,IRON
JEANNE RAND BRUCE DEMOCATIC,205,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MONTREAL,MONTREAL,C,IRON
CHANZ J GREEN REPUBLICAN,275,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MONTREAL,MONTREAL,C,IRON
WRITE- IN,0,REPRESENTATIVE TO THE ASSEMBLY DIST 74,MONTREAL,MONTREAL,C,IRON
MATTHEW J. TINGSTAD,392,DISTRICT ATTORNEY,MONTREAL,MONTREAL,C,IRON
WRITE-IN,0,DISTRICT ATTORNEY,MONTREAL,MONTREAL,C,IRON
YES,366,STATE QUESTION 1,MONTREAL,MONTREAL,C,IRON
NO,123,STATE QUESTION 1,MONTREAL,MONTREAL,C,IRON
