rep_unit_2024,tract_GEOID,l2_count,prop_of_rep_unit_2024
GRANT - TOWN OF POTOSI WARDS 1-2,55043960800,386,0.8373101952277657
GRANT - TOWN OF POTOSI WARDS 1-2,55043961100,47,0.1019522776572668
GRANT - TOWN OF SMELSER WARDS 1-2,55043960800,77,0.15247524752475247
GRANT - TOWN OF SMELSER WARDS 1-2,55043961100,428,0.8475247524752475
GRANT - TOWN OF SOUTH LANCASTER WARDS 1-3,55043960500,10,0.027548209366391185
GRANT - TOWN OF SOUTH LANCASTER WARDS 1-3,55043960600,266,0.7327823691460055
GRANT - TOWN OF SOUTH LANCASTER WARDS 1-3,55043960700,87,0.2396694214876033
GRANT - TOWN OF WATERLOO WARD 1,55043960500,295,1
GRANT - TOWN OF WATTERSTOWN WARDS 1-2,55043960100,56,0.27053140096618356
GRANT - TOWN OF WATTERSTOWN WARDS 1-2,55043960200,151,0.7294685990338164
GRANT - TOWN OF WINGVILLE WARD 1,55043960100,152,0.8685714285714285
GRANT - TOWN OF WINGVILLE WARD 1,55043960600,23,0.13142857142857142
GRANT - TOWN OF WOODMAN WARD 1,55043960300,5,0.054945054945054944
GRANT - TOWN OF WOODMAN WARD 1,55043960400,86,0.945054945054945
GRANT - TOWN OF WYALUSING WARD 1,55043960400,199,1
GRANT - VILLAGE OF BAGLEY WARD 1,55043960400,201,1
GRANT - VILLAGE OF BLOOMINGTON WARD 1,55043960400,379,1
GRANT - VILLAGE OF BLUE RIVER WARD 1,55043960200,206,1
GRANT - VILLAGE OF CASSVILLE WARDS 1-2,55043960500,483,1
GRANT - VILLAGE OF DICKEYVILLE WARDS 1-2,55043961100,593,1
GRANT - VILLAGE OF HAZEL GREEN WARDS 1-2,55043961200,591,1
GRANT - VILLAGE OF LIVINGSTON WARD 1,55043960600,289,1
GRANT - VILLAGE OF MONTFORT WARD 1,55043960100,283,1
GRANT - VILLAGE OF MOUNT HOPE WARD 1,55043960400,102,1
GRANT - VILLAGE OF MUSCODA WARDS 1-2,55043960100,572,1
GRANT - VILLAGE OF PATCH GROVE WARD 1,55043960400,82,1
GRANT - VILLAGE OF POTOSI WARD 1,55043960800,392,1
GRANT - VILLAGE OF TENNYSON WARD 1,55043960800,197,1
GRANT - VILLAGE OF WOODMAN WARD 1,55043960400,40,1
GREEN - CITY OF BRODHEAD WARDS 1-6,55045960800,1500,1
GREEN - CITY OF MONROE WARDS 1-10,55045960300,6,0.0011811023622047244
GREEN - CITY OF MONROE WARDS 1-10,55045960400,1984,0.3905511811023622
GREEN - CITY OF MONROE WARDS 1-10,55045960500,1518,0.2988188976377953
GREEN - CITY OF MONROE WARDS 1-10,55045960600,1572,0.3094488188976378
GREEN - TOWN OF ADAMS WARD 1,55045960200,316,0.9106628242074928
GREEN - TOWN OF ADAMS WARD 1,55045960700,31,0.0893371757925072
GREEN - TOWN OF ALBANY WARDS 1-2,55045960100,426,0.6228070175438597
GREEN - TOWN OF ALBANY WARDS 1-2,55045960300,258,0.37719298245614036
GREEN - TOWN OF BROOKLYN WARDS 1-3,55045960100,761,1
GREEN - TOWN OF CADIZ WARD 1,55045960700,462,1
GREEN - TOWN OF CLARNO WARDS 1-2,55045960500,139,0.21958925750394945
GREEN - TOWN OF CLARNO WARDS 1-2,55045960600,61,0.09636650868878358
GREEN - TOWN OF CLARNO WARDS 1-2,55045960700,433,0.684044233807267
GREEN - TOWN OF DECATUR WARDS 1-4,55045960300,744,0.7112810707456979
GREEN - TOWN OF DECATUR WARDS 1-4,55045960800,302,0.2887189292543021
GREEN - TOWN OF EXETER WARDS 1-3,55045960100,1346,0.9911634756995582
GREEN - TOWN OF EXETER WARDS 1-3,55045960200,12,0.008836524300441826
GREEN - TOWN OF JEFFERSON WARDS 1-2,55045960600,24,0.03389830508474576
GREEN - TOWN OF JEFFERSON WARDS 1-2,55045960700,684,0.9661016949152542
GREEN - TOWN OF JORDAN WARDS 1-2,55045960200,4,0.011869436201780416
GREEN - TOWN OF JORDAN WARDS 1-2,55045960300,11,0.032640949554896145
GREEN - TOWN OF JORDAN WARDS 1-2,55045960700,322,0.9554896142433235
GREEN - TOWN OF MONROE WARDS 1-2,55045960200,56,0.07639836289222374
GREEN - TOWN OF MONROE WARDS 1-2,55045960300,442,0.6030013642564802
GREEN - TOWN OF MONROE WARDS 1-2,55045960400,141,0.19236016371077763
GREEN - TOWN OF MONROE WARDS 1-2,55045960500,73,0.09959072305593451
GREEN - TOWN OF MONROE WARDS 1-2,55045960600,2,0.002728512960436562
GREEN - TOWN OF MONROE WARDS 1-2,55045960700,19,0.02592087312414734
GREEN - TOWN OF MOUNT PLEASANT WARDS 1-3,55045960100,283,0.6970443349753694
GREEN - TOWN OF MOUNT PLEASANT WARDS 1-3,55045960200,11,0.027093596059113302
GREEN - TOWN OF MOUNT PLEASANT WARDS 1-3,55045960300,112,0.27586206896551724
GREEN - TOWN OF NEW GLARUS WARDS 1-2,55045960100,2,0.0022172949002217295
GREEN - TOWN OF NEW GLARUS WARDS 1-2,55045960200,900,0.9977827050997783
GREEN - TOWN OF SPRING GROVE WARD 1,55045960700,170,0.31835205992509363
GREEN - TOWN OF SPRING GROVE WARD 1,55045960800,364,0.6816479400749064
GREEN - TOWN OF SYLVESTER WARDS 1-2,55045960300,641,0.9816232771822359
GREEN - TOWN OF SYLVESTER WARDS 1-2,55045960400,2,0.0030627871362940277
GREEN - TOWN OF SYLVESTER WARDS 1-2,55045960700,10,0.015313935681470138
GREEN - TOWN OF WASHINGTON WARD 1,55045960100,8,0.016194331983805668
GREEN - TOWN OF WASHINGTON WARD 1,55045960200,410,0.8299595141700404
GREEN - TOWN OF WASHINGTON WARD 1,55045960300,76,0.15384615384615385
GREEN - TOWN OF YORK WARDS 1-2,55045960200,685,1
GREEN - VILLAGE OF ALBANY WARDS 1-2,55045960300,497,1
GREEN - VILLAGE OF BELLEVILLE WARD 3,55025012600,2,0.006269592476489028
GREEN - VILLAGE OF BELLEVILLE WARD 3,55045960100,317,0.9937304075235109
GREEN - VILLAGE OF BROOKLYN WARD 2,55045960100,236,1
GREEN - VILLAGE OF BROWNTOWN WARD 1,55045960700,124,1
GREEN - VILLAGE OF MONTICELLO WARDS 1-2,55045960100,617,0.9919614147909968
GREEN - VILLAGE OF MONTICELLO WARDS 1-2,55045960200,5,0.008038585209003215
GREEN - VILLAGE OF NEW GLARUS WARDS 1-4,55045960200,1327,1
GREEN LAKE - CITY OF BERLIN WARDS 1-6,55047100100,1044,0.4373690825303729
GREEN LAKE - CITY OF BERLIN WARDS 1-6,55047100200,1343,0.5626309174696271
GREEN LAKE - CITY OF GREEN LAKE WARDS 1-6,55047100400,628,1
GREEN LAKE - CITY OF MARKESAN WARDS 1-3,55047100600,723,1
GREEN LAKE - CITY OF PRINCETON WARDS 1-4,55047100300,660,1
GREEN LAKE - TOWN OF BERLIN WARDS 1-3,55047100100,399,0.5473251028806584
GREEN LAKE - TOWN OF BERLIN WARDS 1-3,55047100200,96,0.13168724279835392
GREEN LAKE - TOWN OF BERLIN WARDS 1-3,55047100300,234,0.32098765432098764
GREEN LAKE - TOWN OF BROOKLYN WARDS 1-3,55047100300,70,0.055205047318611984
GREEN LAKE - TOWN OF BROOKLYN WARDS 1-3,55047100400,1094,0.862776025236593
GREEN LAKE - TOWN OF BROOKLYN WARDS 1-3,55047100500,104,0.08201892744479496
GREEN LAKE - TOWN OF GREEN LAKE WARDS 1-2,55047100400,172,0.21001221001221002
GREEN LAKE - TOWN OF GREEN LAKE WARDS 1-2,55047100500,5,0.006105006105006105
GREEN LAKE - TOWN OF GREEN LAKE WARDS 1-2,55047100600,642,0.7838827838827839
GREEN LAKE - TOWN OF KINGSTON WARDS 1-2,55047100500,307,1
GREEN LAKE - TOWN OF MACKFORD WARD 1,55047100600,288,1
GREEN LAKE - TOWN OF MANCHESTER WARD 1,55047100500,29,0.07712765957446809
GREEN LAKE - TOWN OF MANCHESTER WARD 1,55047100600,347,0.9228723404255319
GREEN LAKE - TOWN OF MARQUETTE WARD 1,55047100500,276,0.8706624605678234
GREEN LAKE - TOWN OF MARQUETTE WARD 1,55047100600,41,0.12933753943217666
GREEN LAKE - TOWN OF PRINCETON WARDS 1-4,55047100300,373,0.3656862745098039
GREEN LAKE - TOWN OF PRINCETON WARDS 1-4,55047100500,647,0.634313725490196
GREEN LAKE - TOWN OF SENECA WARD 1,55047100100,14,0.05982905982905983
GREEN LAKE - TOWN OF SENECA WARD 1,55047100200,8,0.03418803418803419
GREEN LAKE - TOWN OF SENECA WARD 1,55047100300,212,0.905982905982906
GREEN LAKE - TOWN OF ST. MARIE WARDS 1-2,55047100300,239,1
GREEN LAKE - VILLAGE OF KINGSTON WARD 1,55047100500,184,1
GREEN LAKE - VILLAGE OF MARQUETTE WARD 1,55047100500,116,1
IOWA - CITY OF DODGEVILLE WARDS 1-10,55049950400,2575,1
IOWA - CITY OF MINERAL POINT WARDS 1-8,55049950600,1466,1
IOWA - TOWN OF ARENA WARDS 1-3,55049950100,932,1
IOWA - TOWN OF BRIGHAM WARDS 1-2,55049950100,166,0.21756225425950196
IOWA - TOWN OF BRIGHAM WARDS 1-2,55049950500,597,0.7824377457404981
IOWA - TOWN OF CLYDE WARD 1,55049950200,210,1
IOWA - TOWN OF DODGEVILLE WARDS 1-3,55049950100,628,0.5980952380952381
IOWA - TOWN OF DODGEVILLE WARDS 1-3,55049950200,57,0.054285714285714284
IOWA - TOWN OF DODGEVILLE WARDS 1-3,55049950300,116,0.11047619047619048
IOWA - TOWN OF DODGEVILLE WARDS 1-3,55049950400,205,0.19523809523809524
IOWA - TOWN OF DODGEVILLE WARDS 1-3,55049950500,44,0.0419047619047619
IOWA - TOWN OF EDEN WARD 1,55049950200,33,0.16176470588235295
IOWA - TOWN OF EDEN WARD 1,55049950300,171,0.8382352941176471
IOWA - TOWN OF HIGHLAND WARDS 1-4,55049950200,433,0.9976958525345622
IOWA - TOWN OF HIGHLAND WARDS 1-4,55049950300,1,0.002304147465437788
IOWA - TOWN OF LINDEN WARDS 1-2,55049950300,327,0.8861788617886179
IOWA - TOWN OF LINDEN WARDS 1-2,55049950600,42,0.11382113821138211
IOWA - TOWN OF MIFFLIN WARD 1,55049950300,274,1
IOWA - TOWN OF MINERAL POINT WARDS 1-3,55049950300,9,0.014827018121911038
IOWA - TOWN OF MINERAL POINT WARDS 1-3,55049950400,42,0.06919275123558484
IOWA - TOWN OF MINERAL POINT WARDS 1-3,55049950500,1,0.0016474464579901153
IOWA - TOWN OF MINERAL POINT WARDS 1-3,55049950600,555,0.914332784184514
IOWA - TOWN OF MOSCOW WARD 1,55049950500,401,1
IOWA - TOWN OF PULASKI WARD 1,55049950200,190,1
IOWA - TOWN OF RIDGEWAY WARDS 1-2,55049950100,83,0.21671018276762402
IOWA - TOWN OF RIDGEWAY WARDS 1-2,55049950500,300,0.783289817232376
IOWA - TOWN OF WALDWICK WARDS 1-3,55049950500,256,0.9846153846153847
IOWA - TOWN OF WALDWICK WARDS 1-3,55049950600,4,0.015384615384615385
IOWA - TOWN OF WYOMING WARD 1,55049950100,227,0.9153225806451613
IOWA - TOWN OF WYOMING WARD 1,55049950200,21,0.0846774193548387
IOWA - VILLAGE OF ARENA WARD 1,55049950100,495,1
IOWA - VILLAGE OF AVOCA WARD 1,55049950200,241,1
IOWA - VILLAGE OF BARNEVELD WARDS 1-2,55049950500,791,1
IOWA - VILLAGE OF BLANCHARDVILLE WARDS 2-3,55049950500,116,1
IOWA - VILLAGE OF COBB WARD 1,55049950300,270,1
IOWA - VILLAGE OF HIGHLAND WARD 1,55049950200,476,1
IOWA - VILLAGE OF HOLLANDALE WARD 1,55049950500,159,1
IOWA - VILLAGE OF LINDEN WARD 1,55049950300,215,1
IOWA - VILLAGE OF LIVINGSTON WARD 2,55049950300,2,1
IOWA - VILLAGE OF MONTFORT WARD 2,55049950300,53,1
IOWA - VILLAGE OF MUSCODA WARD 3,55049950200,15,1
IOWA - VILLAGE OF REWEY WARD 1,55049950300,121,1
IOWA - VILLAGE OF RIDGEWAY WARD 1,55049950500,370,1
IRON - CITY OF HURLEY WARD 1,55051180100,317,1
IRON - CITY OF HURLEY WARD 2,55051180100,226,1
IRON - CITY OF HURLEY WARD 3,55051180100,132,1
IRON - CITY OF HURLEY WARD 4,55051180100,224,1
IRON - CITY OF MONTREAL WARDS 1-2,55051180100,512,0.9499072356215214
IRON - CITY OF MONTREAL WARDS 1-2,55051180200,27,0.05009276437847866
IRON - TOWN OF ANDERSON WARD 1,55051180200,40,1
IRON - TOWN OF CAREY WARD 1,55051180100,21,0.2441860465116279
IRON - TOWN OF CAREY WARD 1,55051180200,64,0.7441860465116279
IRON - TOWN OF CAREY WARD 1,55051180300,1,0.011627906976744186
IRON - TOWN OF GURNEY WARD 1,55051180200,179,1
IRON - TOWN OF KIMBALL WARD 1,55051180100,40,0.1423487544483986
IRON - TOWN OF KIMBALL WARD 1,55051180200,241,0.8576512455516014
IRON - TOWN OF KNIGHT WARD 1,55051180200,20,1
IRON - TOWN OF MERCER WARDS 1-4,55051180300,1103,1
IRON - TOWN OF OMA WARD 1,55051180100,9,0.05625
IRON - TOWN OF OMA WARD 1,55051180200,42,0.2625
IRON - TOWN OF OMA WARD 1,55051180300,109,0.68125
IRON - TOWN OF PENCE WARD 1,55051180100,33,0.868421052631579
IRON - TOWN OF PENCE WARD 1,55051180200,5,0.13157894736842105
IRON - TOWN OF SAXON WARD 1,55051180200,148,1
IRON - TOWN OF SHERMAN WARD 1,55051180300,125,1
JACKSON - CITY OF BLACK RIVER FALLS WARD 1,55053960500,476,1
JACKSON - CITY OF BLACK RIVER FALLS WARD 2,55053960500,423,1
JACKSON - CITY OF BLACK RIVER FALLS WARD 3,55053960500,262,1
JACKSON - CITY OF BLACK RIVER FALLS WARD 4,55053960200,39,0.08441558441558442
JACKSON - CITY OF BLACK RIVER FALLS WARD 4,55053960500,423,0.9155844155844156
JACKSON - TOWN OF ADAMS WARDS 1-3,55053960200,574,0.6825208085612366
JACKSON - TOWN OF ADAMS WARDS 1-3,55053960400,52,0.06183115338882283
JACKSON - TOWN OF ADAMS WARDS 1-3,55053960500,215,0.2556480380499406
JACKSON - TOWN OF ALBION WARDS 1-4,55053960300,39,0.057692307692307696
JACKSON - TOWN OF ALBION WARDS 1-4,55053960400,548,0.8106508875739645
JACKSON - TOWN OF ALBION WARDS 1-4,55053960500,89,0.13165680473372782
"JACKSON - TOWN OF ALMA WARDS 1,4-5",55053960200,145,0.9666666666666667
"JACKSON - TOWN OF ALMA WARDS 1,4-5",55053960300,5,0.03333333333333333
JACKSON - TOWN OF ALMA WARDS 2-3,55053960200,334,1
JACKSON - TOWN OF BEAR BLUFF WARD 1,55053960100,68,1
JACKSON - TOWN OF BROCKWAY WARDS 1-6,55053960100,447,0.5228070175438596
JACKSON - TOWN OF BROCKWAY WARDS 1-6,55053960500,408,0.47719298245614034
JACKSON - TOWN OF CITY POINT WARD 1,55053960100,115,1
JACKSON - TOWN OF CLEVELAND WARD 1,55053960300,285,1
JACKSON - TOWN OF CURRAN WARD 1,55053960300,163,1
JACKSON - TOWN OF FRANKLIN WARD 1,55053960400,165,1
JACKSON - TOWN OF GARDEN VALLEY WARD 1,55053960200,10,0.04310344827586207
JACKSON - TOWN OF GARDEN VALLEY WARD 1,55053960300,222,0.9568965517241379
JACKSON - TOWN OF GARFIELD WARDS 1-2,55053960300,379,1
JACKSON - TOWN OF HIXTON WARDS 1-2,55053960200,84,0.24925816023738873
JACKSON - TOWN OF HIXTON WARDS 1-2,55053960300,214,0.6350148367952523
JACKSON - TOWN OF HIXTON WARDS 1-2,55053960400,39,0.11572700296735905
JACKSON - TOWN OF IRVING WARDS 1-3,55053960400,394,1
JACKSON - TOWN OF KNAPP WARD 1,55053960100,161,1
JACKSON - TOWN OF KOMENSKY WARD 1,55053960100,164,1
JACKSON - TOWN OF MANCHESTER WARD 1,55053960100,447,1
JACKSON - TOWN OF MELROSE WARD 1,55053960400,229,1
JACKSON - TOWN OF MILLSTON WARDS 1-2,55053960100,89,1
JACKSON - TOWN OF NORTH BEND WARD 1,55053960400,275,1
JACKSON - TOWN OF NORTHFIELD WARD 1,55053960300,331,1
JACKSON - TOWN OF SPRINGFIELD WARDS 1-2,55053960300,91,0.35826771653543305
JACKSON - TOWN OF SPRINGFIELD WARDS 1-2,55053960400,163,0.6417322834645669
JACKSON - VILLAGE OF ALMA CENTER WARD 1,55053960200,240,1
JACKSON - VILLAGE OF HIXTON WARD 1,55053960300,229,1
JACKSON - VILLAGE OF MELROSE WARD 1,55053960400,274,1
JACKSON - VILLAGE OF MERRILLAN WARD 1,55053960200,192,1
JACKSON - VILLAGE OF MERRILLAN WARD 2,55053960200,25,1
JACKSON - VILLAGE OF TAYLOR WARD 1,55053960300,168,1
JEFFERSON - CITY OF FORT ATKINSON WARDS 1-13,55055101202,5,8.244023083264633e-4
JEFFERSON - CITY OF FORT ATKINSON WARDS 1-13,55055101300,2985,0.4921681780708986
JEFFERSON - CITY OF FORT ATKINSON WARDS 1-13,55055101400,1338,0.22061005770816158
JEFFERSON - CITY OF FORT ATKINSON WARDS 1-13,55055101500,1737,0.28639736191261334
JEFFERSON - CITY OF JEFFERSON WARDS 1-10,55055100900,5,0.0013065064018813691
JEFFERSON - CITY OF JEFFERSON WARDS 1-10,55055101000,1817,0.47478442644368957
JEFFERSON - CITY OF JEFFERSON WARDS 1-10,55055101100,2005,0.5239090671544291
JEFFERSON - CITY OF LAKE MILLS WARDS 1-8,55055100500,3649,1
JEFFERSON - CITY OF WATERLOO WARDS 1-5,55055100400,1809,1
JEFFERSON - CITY OF WATERTOWN WARDS 11-13,55055100200,239,0.21358355674709562
JEFFERSON - CITY OF WATERTOWN WARDS 11-13,55055100301,3,0.002680965147453083
JEFFERSON - CITY OF WATERTOWN WARDS 11-13,55055100302,877,0.7837354781054513
JEFFERSON - CITY OF WATERTOWN WARDS 14-15,55055100100,35,0.04697986577181208
JEFFERSON - CITY OF WATERTOWN WARDS 14-15,55055100200,710,0.9530201342281879
JEFFERSON - CITY OF WATERTOWN WARDS 16-17,55055100100,1008,0.7735993860322333
JEFFERSON - CITY OF WATERTOWN WARDS 16-17,55055100200,295,0.2264006139677667
JEFFERSON - CITY OF WATERTOWN WARDS 18-19,55055100100,1231,1
JEFFERSON - CITY OF WATERTOWN WARDS 20-22,55055100100,159,0.10426229508196722
JEFFERSON - CITY OF WATERTOWN WARDS 20-22,55055100200,13,0.008524590163934427
JEFFERSON - CITY OF WATERTOWN WARDS 20-22,55055100301,1353,0.8872131147540984
JEFFERSON - CITY OF WATERTOWN WARDS 9-10,55055100301,751,0.8127705627705628
JEFFERSON - CITY OF WATERTOWN WARDS 9-10,55055100302,173,0.18722943722943722
JEFFERSON - CITY OF WHITEWATER WARDS 11-13,55055101600,592,1
"JEFFERSON - TOWN OF AZTALAN WARDS 1,3",55055100500,189,0.3720472440944882
"JEFFERSON - TOWN OF AZTALAN WARDS 1,3",55055100601,9,0.017716535433070866
"JEFFERSON - TOWN OF AZTALAN WARDS 1,3",55055100602,5,0.00984251968503937
"JEFFERSON - TOWN OF AZTALAN WARDS 1,3",55055100700,300,0.5905511811023622
"JEFFERSON - TOWN OF AZTALAN WARDS 1,3",55055101000,5,0.00984251968503937
"JEFFERSON - TOWN OF AZTALAN WARDS 2,4",55055100700,242,0.8148148148148148
"JEFFERSON - TOWN OF AZTALAN WARDS 2,4",55055101000,55,0.18518518518518517
JEFFERSON - TOWN OF COLD SPRING WARD 1,55055101202,15,0.035629453681710214
JEFFERSON - TOWN OF COLD SPRING WARD 1,55055101600,406,0.9643705463182898
JEFFERSON - TOWN OF CONCORD WARDS 1-2,55055100700,11,0.008771929824561403
JEFFERSON - TOWN OF CONCORD WARDS 1-2,55055100800,1243,0.9912280701754386
JEFFERSON - TOWN OF FARMINGTON WARDS 1-3,55055100700,607,0.6389473684210526
JEFFERSON - TOWN OF FARMINGTON WARDS 1-3,55055100800,29,0.030526315789473683
JEFFERSON - TOWN OF FARMINGTON WARDS 1-3,55055100900,63,0.06631578947368422
JEFFERSON - TOWN OF FARMINGTON WARDS 1-3,55055101000,3,0.003157894736842105
JEFFERSON - TOWN OF FARMINGTON WARDS 1-3,55055101701,248,0.26105263157894737
JEFFERSON - TOWN OF HEBRON WARDS 1-2,55055100900,688,1
JEFFERSON - TOWN OF IXONIA WARDS 1-6,55055100800,68,0.022795843110962118
JEFFERSON - TOWN OF IXONIA WARDS 1-6,55055101702,2915,0.9772041568890378
JEFFERSON - TOWN OF JEFFERSON WARDS 1-2,55055100700,26,0.0327455919395466
JEFFERSON - TOWN OF JEFFERSON WARDS 1-2,55055100800,3,0.003778337531486146
JEFFERSON - TOWN OF JEFFERSON WARDS 1-2,55055100900,760,0.9571788413098237
JEFFERSON - TOWN OF JEFFERSON WARDS 1-2,55055101000,1,0.0012594458438287153
JEFFERSON - TOWN OF JEFFERSON WARDS 1-2,55055101100,4,0.005037783375314861
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055100602,174,0.4223300970873786
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055100700,31,0.07524271844660194
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055101000,26,0.06310679611650485
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055101100,89,0.21601941747572814
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055101300,30,0.07281553398058252
JEFFERSON - TOWN OF JEFFERSON WARDS 3-4,55055101500,62,0.15048543689320387
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055100602,7,0.0030742204655248135
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055100900,201,0.08827404479578392
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055101201,734,0.32235397452788755
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055101202,1010,0.44356609574000877
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055101300,75,0.03293807641633729
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055101400,142,0.06236275801493193
JEFFERSON - TOWN OF KOSHKONONG WARDS 1-6,55055101500,108,0.04743083003952569
JEFFERSON - TOWN OF LAKE MILLS WARDS 1-3,55055100400,71,0.05
JEFFERSON - TOWN OF LAKE MILLS WARDS 1-3,55055100500,212,0.14929577464788732
JEFFERSON - TOWN OF LAKE MILLS WARDS 1-3,55055100601,1124,0.7915492957746478
JEFFERSON - TOWN OF LAKE MILLS WARDS 1-3,55055100602,13,0.009154929577464789
JEFFERSON - TOWN OF MILFORD WARDS 1-2,55055100400,686,0.8886010362694301
JEFFERSON - TOWN OF MILFORD WARDS 1-2,55055101701,86,0.11139896373056994
JEFFERSON - TOWN OF OAKLAND WARDS 1-4,55055100601,2,9.212344541685859e-4
JEFFERSON - TOWN OF OAKLAND WARDS 1-4,55055100602,1971,0.9078765545831414
JEFFERSON - TOWN OF OAKLAND WARDS 1-4,55055101201,198,0.09120221096269
JEFFERSON - TOWN OF PALMYRA WARDS 1-2,55055100900,18,0.022988505747126436
JEFFERSON - TOWN OF PALMYRA WARDS 1-2,55055101600,765,0.9770114942528736
JEFFERSON - TOWN OF SULLIVAN WARDS 1-4,55055100700,7,0.005279034690799397
JEFFERSON - TOWN OF SULLIVAN WARDS 1-4,55055100800,854,0.6440422322775264
JEFFERSON - TOWN OF SULLIVAN WARDS 1-4,55055100900,422,0.31825037707390647
JEFFERSON - TOWN OF SULLIVAN WARDS 1-4,55055101600,43,0.032428355957767725
JEFFERSON - TOWN OF SUMNER WARD 1,55055101201,542,1
JEFFERSON - TOWN OF WATERLOO WARD 1,55055100400,587,1
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055100100,175,0.13844936708860758
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055100301,34,0.02689873417721519
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055100302,7,0.005537974683544304
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055100400,177,0.14003164556962025
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055101701,527,0.41693037974683544
JEFFERSON - TOWN OF WATERTOWN WARDS 1-2,55055101702,344,0.2721518987341772
JEFFERSON - VILLAGE OF CAMBRIDGE WARD 1,55055100602,59,1
JEFFERSON - VILLAGE OF JOHNSON CREEK WARDS 1-4,55055100700,1576,0.9314420803782506
JEFFERSON - VILLAGE OF JOHNSON CREEK WARDS 1-4,55055101701,116,0.06855791962174941
JEFFERSON - VILLAGE OF PALMYRA WARDS 1-2,55055101600,971,1
JEFFERSON - VILLAGE OF SULLIVAN WARDS 1-2,55055100800,375,1
JUNEAU - CITY OF ELROY WARDS 1-6,55057100200,32,0.0547945205479452
JUNEAU - CITY OF ELROY WARDS 1-6,55057100600,552,0.9452054794520548
JUNEAU - CITY OF MAUSTON WARDS 1-7,55057100400,133,0.08199753390875462
JUNEAU - CITY OF MAUSTON WARDS 1-7,55057100500,1489,0.9180024660912454
JUNEAU - CITY OF NEW LISBON WARDS 1-7,55057100200,18,0.029173419773095625
JUNEAU - CITY OF NEW LISBON WARDS 1-7,55057100400,599,0.9708265802269044
JUNEAU - TOWN OF ARMENIA WARD 1,55057100100,427,1
JUNEAU - TOWN OF CLEARFIELD WARD 1,55057100200,223,0.6246498599439776
JUNEAU - TOWN OF CLEARFIELD WARD 1,55057100301,125,0.35014005602240894
JUNEAU - TOWN OF CLEARFIELD WARD 1,55057100400,9,0.025210084033613446
JUNEAU - TOWN OF CLEARFIELD WARD 2,55057100301,58,0.4496124031007752
JUNEAU - TOWN OF CLEARFIELD WARD 2,55057100400,71,0.5503875968992248
JUNEAU - TOWN OF CUTLER WARD 1,55057100100,155,0.8378378378378378
JUNEAU - TOWN OF CUTLER WARD 1,55057100200,30,0.16216216216216217
JUNEAU - TOWN OF FINLEY WARD 1,55057100100,51,1
JUNEAU - TOWN OF FOUNTAIN WARDS 1-2,55057100200,306,0.8225806451612904
JUNEAU - TOWN OF FOUNTAIN WARDS 1-2,55057100400,66,0.1774193548387097
JUNEAU - TOWN OF GERMANTOWN WARD 1,55057100301,393,0.7586872586872587
JUNEAU - TOWN OF GERMANTOWN WARD 1,55057100302,125,0.2413127413127413
JUNEAU - TOWN OF GERMANTOWN WARDS 2-3,55057100302,484,0.8864468864468864
JUNEAU - TOWN OF GERMANTOWN WARDS 2-3,55057100400,62,0.11355311355311355
JUNEAU - TOWN OF KILDARE WARDS 1-3,55057100700,413,1
JUNEAU - TOWN OF KINGSTON WARD 1,55057100100,16,1
JUNEAU - TOWN OF LEMONWEIR WARDS 1-4,55057100400,544,0.6174801362088536
JUNEAU - TOWN OF LEMONWEIR WARDS 1-4,55057100500,19,0.021566401816118047
JUNEAU - TOWN OF LEMONWEIR WARDS 1-4,55057100700,318,0.36095346197502837
JUNEAU - TOWN OF LINDINA WARD 1,55057100200,238,0.5253863134657837
JUNEAU - TOWN OF LINDINA WARD 1,55057100500,105,0.23178807947019867
JUNEAU - TOWN OF LINDINA WARD 1,55057100600,24,0.052980132450331126
JUNEAU - TOWN OF LINDINA WARD 1,55057100700,86,0.18984547461368653
JUNEAU - TOWN OF LISBON WARD 1,55057100200,199,0.4252136752136752
JUNEAU - TOWN OF LISBON WARD 1,55057100400,269,0.5747863247863247
JUNEAU - TOWN OF LISBON WARD 2,55057100200,2,0.4
JUNEAU - TOWN OF LISBON WARD 2,55057100400,3,0.6
JUNEAU - TOWN OF LYNDON WARDS 1-3,55057100700,674,1
JUNEAU - TOWN OF MARION WARD 1,55057100302,2,0.008658008658008658
JUNEAU - TOWN OF MARION WARD 1,55057100400,229,0.9913419913419913
