reporting_unit,county,rep_unit_2024,tract_GEOID,prop_of_rep_unit_2024
"CITY OF FITCHBURG WARDS 11,13-14",DANE,"DANE - CITY OF FITCHBURG WARDS 11,13-14",55025001405,0.6917837377607493
"CITY OF FITCHBURG WARDS 11,13-14",DANE,"DANE - CITY OF FITCHBURG WARDS 11,13-14",55025001502,0.04001702852277565
"CITY OF FITCHBURG WARDS 11,13-14",DANE,"DANE - CITY OF FITCHBURG WARDS 11,13-14",55025010702,0.2681992337164751
"CITY OF FITCHBURG WARDS 15-18,20-21",DANE,"DANE - CITY OF FITCHBURG WARDS 15-18,20-21",55025010600,0.06223798774588842
"CITY OF FITCHBURG WARDS 15-18,20-21",DANE,"DANE - CITY OF FITCHBURG WARDS 15-18,20-21",55025010701,0.41889712995807804
"CITY OF FITCHBURG WARDS 15-18,20-21",DANE,"DANE - CITY OF FITCHBURG WARDS 15-18,20-21",55025010702,0.47694292163818125
"CITY OF FITCHBURG WARDS 15-18,20-21",DANE,"DANE - CITY OF FITCHBURG WARDS 15-18,20-21",55025012501,0.00999677523379555
"CITY OF FITCHBURG WARDS 15-18,20-21",DANE,"DANE - CITY OF FITCHBURG WARDS 15-18,20-21",55025012502,0.03192518542405676
CITY OF FITCHBURG WARDS 23-25,DANE,DANE - CITY OF FITCHBURG WARDS 23-25,55025001502,1
CITY OF FITCHBURG WARDS 6-10,DANE,DANE - CITY OF FITCHBURG WARDS 6-10,55025001402,0.04363636363636364
CITY OF FITCHBURG WARDS 6-10,DANE,DANE - CITY OF FITCHBURG WARDS 6-10,55025001404,0.40675324675324676
CITY OF FITCHBURG WARDS 6-10,DANE,DANE - CITY OF FITCHBURG WARDS 6-10,55025010701,0.5496103896103897
CITY OF MADISON WARD 1,DANE,DANE - CITY OF MADISON WARD 1,55025011407,1
CITY OF MADISON WARD 10,DANE,DANE - CITY OF MADISON WARD 10,55025003001,1
CITY OF MADISON WARD 100,DANE,DANE - CITY OF MADISON WARD 100,55025000407,1
CITY OF MADISON WARD 101,DANE,DANE - CITY OF MADISON WARD 101,55025000409,0.9490994518402506
CITY OF MADISON WARD 101,DANE,DANE - CITY OF MADISON WARD 101,55025000504,0.05090054815974941
CITY OF MADISON WARD 102,DANE,DANE - CITY OF MADISON WARD 102,55025000409,1
CITY OF MADISON WARD 103,DANE,DANE - CITY OF MADISON WARD 103,55025000504,0.4092643051771117
CITY OF MADISON WARD 103,DANE,DANE - CITY OF MADISON WARD 103,55025000505,0.5907356948228882
CITY OF MADISON WARD 104,DANE,DANE - CITY OF MADISON WARD 104,55025010702,1
CITY OF MADISON WARD 105,DANE,DANE - CITY OF MADISON WARD 105,55025010801,1
CITY OF MADISON WARD 106,DANE,DANE - CITY OF MADISON WARD 106,55025010801,1
CITY OF MADISON WARD 107,DANE,DANE - CITY OF MADISON WARD 107,55025000504,1
CITY OF MADISON WARD 108,DANE,DANE - CITY OF MADISON WARD 108,55025000409,0.10068649885583524
CITY OF MADISON WARD 108,DANE,DANE - CITY OF MADISON WARD 108,55025000410,0.8993135011441648
CITY OF MADISON WARD 109,DANE,DANE - CITY OF MADISON WARD 109,55025000406,1
CITY OF MADISON WARD 11,DANE,DANE - CITY OF MADISON WARD 11,55025003001,1
CITY OF MADISON WARD 110,DANE,DANE - CITY OF MADISON WARD 110,55025000406,1
CITY OF MADISON WARD 111,DANE,DANE - CITY OF MADISON WARD 111,55025000504,1
CITY OF MADISON WARD 112,DANE,DANE - CITY OF MADISON WARD 112,55025010903,1
CITY OF MADISON WARD 113,DANE,DANE - CITY OF MADISON WARD 113,55025010903,1
CITY OF MADISON WARD 114,DANE,DANE - CITY OF MADISON WARD 114,55025010905,1
CITY OF MADISON WARD 115,DANE,DANE - CITY OF MADISON WARD 115,55025000204,0.758043758043758
CITY OF MADISON WARD 115,DANE,DANE - CITY OF MADISON WARD 115,55025000410,0.24195624195624196
CITY OF MADISON WARD 116,DANE,DANE - CITY OF MADISON WARD 116,55025000204,1
CITY OF MADISON WARD 117,DANE,DANE - CITY OF MADISON WARD 117,55025010905,0.9521938441388343
CITY OF MADISON WARD 117,DANE,DANE - CITY OF MADISON WARD 117,55025010906,0.04780615586116568
CITY OF MADISON WARD 118,DANE,DANE - CITY OF MADISON WARD 118,55025010906,1
CITY OF MADISON WARD 119,DANE,DANE - CITY OF MADISON WARD 119,55025010906,1
CITY OF MADISON WARD 12,DANE,DANE - CITY OF MADISON WARD 12,55025002603,0.0016129032258064516
CITY OF MADISON WARD 12,DANE,DANE - CITY OF MADISON WARD 12,55025003002,0.9983870967741936
CITY OF MADISON WARD 120,DANE,DANE - CITY OF MADISON WARD 120,55025000409,1
CITY OF MADISON WARD 121,DANE,DANE - CITY OF MADISON WARD 121,55025011403,1
CITY OF MADISON WARD 123,DANE,DANE - CITY OF MADISON WARD 123,55025011405,1
CITY OF MADISON WARD 126,DANE,DANE - CITY OF MADISON WARD 126,55025991703,1
CITY OF MADISON WARD 127,DANE,DANE - CITY OF MADISON WARD 127,55025001402,1
CITY OF MADISON WARD 128,DANE,DANE - CITY OF MADISON WARD 128,55025002500,1
CITY OF MADISON WARD 13,DANE,DANE - CITY OF MADISON WARD 13,55025002601,0.5008912655971479
CITY OF MADISON WARD 13,DANE,DANE - CITY OF MADISON WARD 13,55025002603,0.49910873440285203
CITY OF MADISON WARD 130,DANE,DANE - CITY OF MADISON WARD 130,55025000407,1
CITY OF MADISON WARD 132,DANE,DANE - CITY OF MADISON WARD 132,55025001502,1
CITY OF MADISON WARD 14,DANE,DANE - CITY OF MADISON WARD 14,55025002900,1
CITY OF MADISON WARD 15,DANE,DANE - CITY OF MADISON WARD 15,55025002800,1
CITY OF MADISON WARD 16,DANE,DANE - CITY OF MADISON WARD 16,55025002700,1
CITY OF MADISON WARD 17,DANE,DANE - CITY OF MADISON WARD 17,55025002000,0.004336043360433604
CITY OF MADISON WARD 17,DANE,DANE - CITY OF MADISON WARD 17,55025002700,0.9956639566395664
CITY OF MADISON WARD 18,DANE,DANE - CITY OF MADISON WARD 18,55025001902,0.0026899798251513113
CITY OF MADISON WARD 18,DANE,DANE - CITY OF MADISON WARD 18,55025002000,0.9973100201748487
CITY OF MADISON WARD 19,DANE,DANE - CITY OF MADISON WARD 19,55025002000,1
CITY OF MADISON WARD 2,DANE,DANE - CITY OF MADISON WARD 2,55025010501,0.9986282578875172
CITY OF MADISON WARD 2,DANE,DANE - CITY OF MADISON WARD 2,55025010503,0.0013717421124828531
CITY OF MADISON WARD 20,DANE,DANE - CITY OF MADISON WARD 20,55025002603,1
CITY OF MADISON WARD 21,DANE,DANE - CITY OF MADISON WARD 21,55025002603,1
CITY OF MADISON WARD 22,DANE,DANE - CITY OF MADISON WARD 22,55025011405,1
CITY OF MADISON WARD 23,DANE,DANE - CITY OF MADISON WARD 23,55025011405,1
CITY OF MADISON WARD 24,DANE,DANE - CITY OF MADISON WARD 24,55025002602,1
CITY OF MADISON WARD 25,DANE,DANE - CITY OF MADISON WARD 25,55025002602,0.9988378849506101
CITY OF MADISON WARD 25,DANE,DANE - CITY OF MADISON WARD 25,55025011405,0.0011621150493898896
CITY OF MADISON WARD 26,DANE,DANE - CITY OF MADISON WARD 26,55025002500,0.6758241758241759
CITY OF MADISON WARD 26,DANE,DANE - CITY OF MADISON WARD 26,55025002602,0.3241758241758242
CITY OF MADISON WARD 27,DANE,DANE - CITY OF MADISON WARD 27,55025002601,1
CITY OF MADISON WARD 28,DANE,DANE - CITY OF MADISON WARD 28,55025002100,1
CITY OF MADISON WARD 29,DANE,DANE - CITY OF MADISON WARD 29,55025002100,1
CITY OF MADISON WARD 3,DANE,DANE - CITY OF MADISON WARD 3,55025003100,0.06601248884924175
CITY OF MADISON WARD 3,DANE,DANE - CITY OF MADISON WARD 3,55025010501,0.9339875111507583
CITY OF MADISON WARD 30,DANE,DANE - CITY OF MADISON WARD 30,55025001804,0.8917401764234162
CITY OF MADISON WARD 30,DANE,DANE - CITY OF MADISON WARD 30,55025002100,0.1082598235765838
CITY OF MADISON WARD 31,DANE,DANE - CITY OF MADISON WARD 31,55025002100,0.11530172413793104
CITY OF MADISON WARD 31,DANE,DANE - CITY OF MADISON WARD 31,55025002200,0.884698275862069
CITY OF MADISON WARD 32,DANE,DANE - CITY OF MADISON WARD 32,55025002200,0.9975414874001229
CITY OF MADISON WARD 32,DANE,DANE - CITY OF MADISON WARD 32,55025002301,0.002458512599877074
CITY OF MADISON WARD 33,DANE,DANE - CITY OF MADISON WARD 33,55025002402,0.7529976019184652
CITY OF MADISON WARD 33,DANE,DANE - CITY OF MADISON WARD 33,55025002500,0.24700239808153476
CITY OF MADISON WARD 34,DANE,DANE - CITY OF MADISON WARD 34,55025002401,0.7388374052232519
CITY OF MADISON WARD 34,DANE,DANE - CITY OF MADISON WARD 34,55025002402,0.2611625947767481
CITY OF MADISON WARD 35,DANE,DANE - CITY OF MADISON WARD 35,55025011201,1
CITY OF MADISON WARD 36,DANE,DANE - CITY OF MADISON WARD 36,55025002402,1
CITY OF MADISON WARD 37,DANE,DANE - CITY OF MADISON WARD 37,55025002401,1
CITY OF MADISON WARD 38,DANE,DANE - CITY OF MADISON WARD 38,55025002301,1
CITY OF MADISON WARD 39,DANE,DANE - CITY OF MADISON WARD 39,55025002301,0.4280821917808219
CITY OF MADISON WARD 39,DANE,DANE - CITY OF MADISON WARD 39,55025002302,0.571917808219178
CITY OF MADISON WARD 4,DANE,DANE - CITY OF MADISON WARD 4,55025003100,1
CITY OF MADISON WARD 40,DANE,DANE - CITY OF MADISON WARD 40,55025001902,1
CITY OF MADISON WARD 41,DANE,DANE - CITY OF MADISON WARD 41,55025001802,0.5068649885583524
CITY OF MADISON WARD 41,DANE,DANE - CITY OF MADISON WARD 41,55025001804,0.4931350114416476
CITY OF MADISON WARD 42,DANE,DANE - CITY OF MADISON WARD 42,55025001901,1
CITY OF MADISON WARD 43,DANE,DANE - CITY OF MADISON WARD 43,55025001802,0.7579505300353356
CITY OF MADISON WARD 43,DANE,DANE - CITY OF MADISON WARD 43,55025001804,0.2420494699646643
CITY OF MADISON WARD 44,DANE,DANE - CITY OF MADISON WARD 44,55025001901,1
CITY OF MADISON WARD 45,DANE,DANE - CITY OF MADISON WARD 45,55025001706,1
CITY OF MADISON WARD 46,DANE,DANE - CITY OF MADISON WARD 46,55025001706,0.44713160854893136
CITY OF MADISON WARD 46,DANE,DANE - CITY OF MADISON WARD 46,55025001707,0.5528683914510686
CITY OF MADISON WARD 47,DANE,DANE - CITY OF MADISON WARD 47,55025001604,1
CITY OF MADISON WARD 48,DANE,DANE - CITY OF MADISON WARD 48,55025001603,0.012021371326803205
CITY OF MADISON WARD 48,DANE,DANE - CITY OF MADISON WARD 48,55025001604,0.9879786286731967
CITY OF MADISON WARD 49,DANE,DANE - CITY OF MADISON WARD 49,55025001603,1
CITY OF MADISON WARD 5,DANE,DANE - CITY OF MADISON WARD 5,55025003100,1
CITY OF MADISON WARD 50,DANE,DANE - CITY OF MADISON WARD 50,55025001603,0.9976340694006309
CITY OF MADISON WARD 50,DANE,DANE - CITY OF MADISON WARD 50,55025001604,0.002365930599369085
CITY OF MADISON WARD 51,DANE,DANE - CITY OF MADISON WARD 51,55025001704,0.43041237113402064
CITY OF MADISON WARD 51,DANE,DANE - CITY OF MADISON WARD 51,55025001706,0.5695876288659794
CITY OF MADISON WARD 52,DANE,DANE - CITY OF MADISON WARD 52,55025001604,0.09090909090909091
CITY OF MADISON WARD 52,DANE,DANE - CITY OF MADISON WARD 52,55025001704,0.6189839572192514
CITY OF MADISON WARD 52,DANE,DANE - CITY OF MADISON WARD 52,55025001706,0.29010695187165775
CITY OF MADISON WARD 53,DANE,DANE - CITY OF MADISON WARD 53,55025001605,0.37149532710280375
CITY OF MADISON WARD 53,DANE,DANE - CITY OF MADISON WARD 53,55025001704,0.6285046728971962
CITY OF MADISON WARD 54,DANE,DANE - CITY OF MADISON WARD 54,55025001603,0.3185102834908282
CITY OF MADISON WARD 54,DANE,DANE - CITY OF MADISON WARD 54,55025001604,0.014452473596442469
CITY OF MADISON WARD 54,DANE,DANE - CITY OF MADISON WARD 54,55025001606,0.6670372429127293
CITY OF MADISON WARD 55,DANE,DANE - CITY OF MADISON WARD 55,55025001605,1
CITY OF MADISON WARD 56,DANE,DANE - CITY OF MADISON WARD 56,55025001606,1
CITY OF MADISON WARD 57,DANE,DANE - CITY OF MADISON WARD 57,55025001603,0.11898859692612791
CITY OF MADISON WARD 57,DANE,DANE - CITY OF MADISON WARD 57,55025001606,0.881011403073872
CITY OF MADISON WARD 58,DANE,DANE - CITY OF MADISON WARD 58,55025001101,0.5503091624508151
CITY OF MADISON WARD 58,DANE,DANE - CITY OF MADISON WARD 58,55025001606,0.44969083754918493
CITY OF MADISON WARD 59,DANE,DANE - CITY OF MADISON WARD 59,55025001101,1
CITY OF MADISON WARD 6,DANE,DANE - CITY OF MADISON WARD 6,55025003100,0.9950980392156863
CITY OF MADISON WARD 6,DANE,DANE - CITY OF MADISON WARD 6,55025011407,0.004901960784313725
CITY OF MADISON WARD 60,DANE,DANE - CITY OF MADISON WARD 60,55025001102,1
CITY OF MADISON WARD 61,DANE,DANE - CITY OF MADISON WARD 61,55025001102,1
CITY OF MADISON WARD 62,DANE,DANE - CITY OF MADISON WARD 62,55025001102,0.004962779156327543
CITY OF MADISON WARD 62,DANE,DANE - CITY OF MADISON WARD 62,55025003200,0.9950372208436724
CITY OF MADISON WARD 63,DANE,DANE - CITY OF MADISON WARD 63,55025000902,0.8955890563930765
CITY OF MADISON WARD 63,DANE,DANE - CITY OF MADISON WARD 63,55025001101,0.1044109436069235
CITY OF MADISON WARD 64,DANE,DANE - CITY OF MADISON WARD 64,55025000901,1
CITY OF MADISON WARD 65,DANE,DANE - CITY OF MADISON WARD 65,55025000902,1
CITY OF MADISON WARD 66,DANE,DANE - CITY OF MADISON WARD 66,55025000800,1
CITY OF MADISON WARD 67,DANE,DANE - CITY OF MADISON WARD 67,55025000800,1
CITY OF MADISON WARD 68,DANE,DANE - CITY OF MADISON WARD 68,55025001200,1
CITY OF MADISON WARD 69,DANE,DANE - CITY OF MADISON WARD 69,55025001200,1
CITY OF MADISON WARD 7,DANE,DANE - CITY OF MADISON WARD 7,55025011403,1
CITY OF MADISON WARD 70,DANE,DANE - CITY OF MADISON WARD 70,55025000901,0.4529577464788732
CITY OF MADISON WARD 70,DANE,DANE - CITY OF MADISON WARD 70,55025001000,0.1143661971830986
CITY OF MADISON WARD 70,DANE,DANE - CITY OF MADISON WARD 70,55025001200,0.4326760563380282
CITY OF MADISON WARD 71,DANE,DANE - CITY OF MADISON WARD 71,55025000901,0.002617801047120419
CITY OF MADISON WARD 71,DANE,DANE - CITY OF MADISON WARD 71,55025001000,0.9973821989528796
CITY OF MADISON WARD 72,DANE,DANE - CITY OF MADISON WARD 72,55025001200,1
CITY OF MADISON WARD 73,DANE,DANE - CITY OF MADISON WARD 73,55025001300,1
CITY OF MADISON WARD 74,DANE,DANE - CITY OF MADISON WARD 74,55025001501,1
CITY OF MADISON WARD 75,DANE,DANE - CITY OF MADISON WARD 75,55025001502,0.9978991596638656
CITY OF MADISON WARD 75,DANE,DANE - CITY OF MADISON WARD 75,55025010600,0.0021008403361344537
CITY OF MADISON WARD 76,DANE,DANE - CITY OF MADISON WARD 76,55025001401,1
CITY OF MADISON WARD 77,DANE,DANE - CITY OF MADISON WARD 77,55025001401,0.9790104947526237
CITY OF MADISON WARD 77,DANE,DANE - CITY OF MADISON WARD 77,55025001405,0.019490254872563718
CITY OF MADISON WARD 77,DANE,DANE - CITY OF MADISON WARD 77,55025001502,0.0014992503748125937
CITY OF MADISON WARD 78,DANE,DANE - CITY OF MADISON WARD 78,55025001402,1
CITY OF MADISON WARD 79,DANE,DANE - CITY OF MADISON WARD 79,55025001402,1
CITY OF MADISON WARD 8,DANE,DANE - CITY OF MADISON WARD 8,55025011405,0.021659174499387004
CITY OF MADISON WARD 8,DANE,DANE - CITY OF MADISON WARD 8,55025011406,0.978340825500613
CITY OF MADISON WARD 80,DANE,DANE - CITY OF MADISON WARD 80,55025000700,1
CITY OF MADISON WARD 81,DANE,DANE - CITY OF MADISON WARD 81,55025000600,1
CITY OF MADISON WARD 82,DANE,DANE - CITY OF MADISON WARD 82,55025000501,1
CITY OF MADISON WARD 83,DANE,DANE - CITY OF MADISON WARD 83,55025000501,0.6536363636363637
CITY OF MADISON WARD 83,DANE,DANE - CITY OF MADISON WARD 83,55025000506,0.3463636363636364
CITY OF MADISON WARD 84,DANE,DANE - CITY OF MADISON WARD 84,55025000407,0.46522781774580335
CITY OF MADISON WARD 84,DANE,DANE - CITY OF MADISON WARD 84,55025000501,0.5347721822541966
CITY OF MADISON WARD 85,DANE,DANE - CITY OF MADISON WARD 85,55025000401,1
CITY OF MADISON WARD 86,DANE,DANE - CITY OF MADISON WARD 86,55025000401,0.32232070910556004
CITY OF MADISON WARD 86,DANE,DANE - CITY OF MADISON WARD 86,55025000402,0.67767929089444
CITY OF MADISON WARD 87,DANE,DANE - CITY OF MADISON WARD 87,55025000401,0.3335684062059238
CITY OF MADISON WARD 87,DANE,DANE - CITY OF MADISON WARD 87,55025000402,0.6664315937940761
CITY OF MADISON WARD 88,DANE,DANE - CITY OF MADISON WARD 88,55025000302,1
CITY OF MADISON WARD 89,DANE,DANE - CITY OF MADISON WARD 89,55025000301,1
CITY OF MADISON WARD 9,DANE,DANE - CITY OF MADISON WARD 9,55025011406,1
CITY OF MADISON WARD 90,DANE,DANE - CITY OF MADISON WARD 90,55025000201,1
CITY OF MADISON WARD 91,DANE,DANE - CITY OF MADISON WARD 91,55025000100,0.9277044854881267
CITY OF MADISON WARD 91,DANE,DANE - CITY OF MADISON WARD 91,55025000201,0.0010554089709762533
CITY OF MADISON WARD 91,DANE,DANE - CITY OF MADISON WARD 91,55025011000,0.0712401055408971
CITY OF MADISON WARD 92,DANE,DANE - CITY OF MADISON WARD 92,55025000205,1
CITY OF MADISON WARD 93,DANE,DANE - CITY OF MADISON WARD 93,55025000201,0.4708002883922134
CITY OF MADISON WARD 93,DANE,DANE - CITY OF MADISON WARD 93,55025000202,0.5291997116077866
CITY OF MADISON WARD 94,DANE,DANE - CITY OF MADISON WARD 94,55025000202,0.7362059905412507
CITY OF MADISON WARD 94,DANE,DANE - CITY OF MADISON WARD 94,55025000408,0.26379400945874937
CITY OF MADISON WARD 95,DANE,DANE - CITY OF MADISON WARD 95,55025000408,1
CITY OF MADISON WARD 96,DANE,DANE - CITY OF MADISON WARD 96,55025000205,1
CITY OF MADISON WARD 97,DANE,DANE - CITY OF MADISON WARD 97,55025000407,1
CITY OF MADISON WARD 98,DANE,DANE - CITY OF MADISON WARD 98,55025000504,0.4978540772532189
CITY OF MADISON WARD 98,DANE,DANE - CITY OF MADISON WARD 98,55025000505,0.4905579399141631
CITY OF MADISON WARD 98,DANE,DANE - CITY OF MADISON WARD 98,55025000506,0.011587982832618025
CITY OF MADISON WARD 99,DANE,DANE - CITY OF MADISON WARD 99,55025000407,1
CITY OF MIDDLETON WARDS 1-4,DANE,DANE - CITY OF MIDDLETON WARDS 1-4,55025000205,0.17770143660212367
CITY OF MIDDLETON WARDS 1-4,DANE,DANE - CITY OF MIDDLETON WARDS 1-4,55025010905,0.051842598376014994
CITY OF MIDDLETON WARDS 1-4,DANE,DANE - CITY OF MIDDLETON WARDS 1-4,55025010907,0.15053091817613992
CITY OF MIDDLETON WARDS 1-4,DANE,DANE - CITY OF MIDDLETON WARDS 1-4,55025011000,0.6199250468457215
"CITY OF MIDDLETON WARDS 14-16,18,17",DANE,"DANE - CITY OF MIDDLETON WARDS 14-16,18,17",55025011101,0.060225442834138485
"CITY OF MIDDLETON WARDS 14-16,18,17",DANE,"DANE - CITY OF MIDDLETON WARDS 14-16,18,17",55025011103,0.7523349436392914
"CITY OF MIDDLETON WARDS 14-16,18,17",DANE,"DANE - CITY OF MIDDLETON WARDS 14-16,18,17",55025011104,0.18743961352657004
"CITY OF MIDDLETON WARDS 5-8,21",DANE,"DANE - CITY OF MIDDLETON WARDS 5-8,21",55025000100,0.016477857878475798
"CITY OF MIDDLETON WARDS 5-8,21",DANE,"DANE - CITY OF MIDDLETON WARDS 5-8,21",55025011000,0.279780295228287
"CITY OF MIDDLETON WARDS 5-8,21",DANE,"DANE - CITY OF MIDDLETON WARDS 5-8,21",55025011101,0.6656368005492619
"CITY OF MIDDLETON WARDS 5-8,21",DANE,"DANE - CITY OF MIDDLETON WARDS 5-8,21",55025011103,0.03810504634397528
"CITY OF MIDDLETON WARDS 9-13,19,22,24",DANE,"DANE - CITY OF MIDDLETON WARDS 9-13,19,22,24",55025010908,0.2982791586998088
"CITY OF MIDDLETON WARDS 9-13,19,22,24",DANE,"DANE - CITY OF MIDDLETON WARDS 9-13,19,22,24",55025011101,0.14668123463534555
"CITY OF MIDDLETON WARDS 9-13,19,22,24",DANE,"DANE - CITY OF MIDDLETON WARDS 9-13,19,22,24",55025011104,0.5550396066648456
CITY OF MONONA WARDS 1-5,DANE,DANE - CITY OF MONONA WARDS 1-5,55025002900,0.029484902309058616
CITY OF MONONA WARDS 1-5,DANE,DANE - CITY OF MONONA WARDS 1-5,55025010300,0.8763765541740675
CITY OF MONONA WARDS 1-5,DANE,DANE - CITY OF MONONA WARDS 1-5,55025010400,0.0941385435168739
CITY OF MONONA WARDS 6-10,DANE,DANE - CITY OF MONONA WARDS 6-10,55025001501,0.020463320463320462
CITY OF MONONA WARDS 6-10,DANE,DANE - CITY OF MONONA WARDS 6-10,55025001502,0.03127413127413128
CITY OF MONONA WARDS 6-10,DANE,DANE - CITY OF MONONA WARDS 6-10,55025002900,0.17258687258687258
CITY OF MONONA WARDS 6-10,DANE,DANE - CITY OF MONONA WARDS 6-10,55025010400,0.7637065637065638
CITY OF MONONA WARDS 6-10,DANE,DANE - CITY OF MONONA WARDS 6-10,55025010501,0.011969111969111969
CITY OF STOUGHTON WARDS 1-2,DANE,DANE - CITY OF STOUGHTON WARDS 1-2,55025012201,0.24411340701585776
CITY OF STOUGHTON WARDS 1-2,DANE,DANE - CITY OF STOUGHTON WARDS 1-2,55025012202,0.7558865929841423
CITY OF STOUGHTON WARDS 3-4,DANE,DANE - CITY OF STOUGHTON WARDS 3-4,55025012201,0.37331256490134995
CITY OF STOUGHTON WARDS 3-4,DANE,DANE - CITY OF STOUGHTON WARDS 3-4,55025012300,0.6266874350986501
CITY OF STOUGHTON WARDS 5-6,DANE,DANE - CITY OF STOUGHTON WARDS 5-6,55025012202,0.26147704590818366
CITY OF STOUGHTON WARDS 5-6,DANE,DANE - CITY OF STOUGHTON WARDS 5-6,55025012300,0.7385229540918163
CITY OF STOUGHTON WARDS 7-9,DANE,DANE - CITY OF STOUGHTON WARDS 7-9,55025012202,0.9622166246851386
CITY OF STOUGHTON WARDS 7-9,DANE,DANE - CITY OF STOUGHTON WARDS 7-9,55025012300,0.010075566750629723
CITY OF STOUGHTON WARDS 7-9,DANE,DANE - CITY OF STOUGHTON WARDS 7-9,55025012400,0.027707808564231738
CITY OF SUN PRAIRIE WARD 1,DANE,DANE - CITY OF SUN PRAIRIE WARD 1,55025011600,1
CITY OF SUN PRAIRIE WARD 10,DANE,DANE - CITY OF SUN PRAIRIE WARD 10,55025011507,1
CITY OF SUN PRAIRIE WARD 11,DANE,DANE - CITY OF SUN PRAIRIE WARD 11,55025011504,0.5760111576011158
CITY OF SUN PRAIRIE WARD 11,DANE,DANE - CITY OF SUN PRAIRIE WARD 11,55025011507,0.42398884239888424
CITY OF SUN PRAIRIE WARD 12,DANE,DANE - CITY OF SUN PRAIRIE WARD 12,55025011507,1
CITY OF SUN PRAIRIE WARD 13,DANE,DANE - CITY OF SUN PRAIRIE WARD 13,55025011507,1
CITY OF SUN PRAIRIE WARD 14,DANE,DANE - CITY OF SUN PRAIRIE WARD 14,55025011505,1
CITY OF SUN PRAIRIE WARD 15,DANE,DANE - CITY OF SUN PRAIRIE WARD 15,55025011505,1
CITY OF SUN PRAIRIE WARD 16,DANE,DANE - CITY OF SUN PRAIRIE WARD 16,55025011506,1
CITY OF SUN PRAIRIE WARD 17,DANE,DANE - CITY OF SUN PRAIRIE WARD 17,55025011506,0.9355992844364938
CITY OF SUN PRAIRIE WARD 17,DANE,DANE - CITY OF SUN PRAIRIE WARD 17,55025011700,0.06440071556350627
CITY OF SUN PRAIRIE WARD 18,DANE,DANE - CITY OF SUN PRAIRIE WARD 18,55025011506,1
CITY OF SUN PRAIRIE WARD 19,DANE,DANE - CITY OF SUN PRAIRIE WARD 19,55025011405,0.002890173410404624
CITY OF SUN PRAIRIE WARD 19,DANE,DANE - CITY OF SUN PRAIRIE WARD 19,55025011506,0.9956647398843931
CITY OF SUN PRAIRIE WARD 19,DANE,DANE - CITY OF SUN PRAIRIE WARD 19,55025011600,0.001445086705202312
CITY OF SUN PRAIRIE WARD 2,DANE,DANE - CITY OF SUN PRAIRIE WARD 2,55025011600,1
CITY OF SUN PRAIRIE WARD 20,DANE,DANE - CITY OF SUN PRAIRIE WARD 20,55025011506,1
CITY OF SUN PRAIRIE WARD 21,DANE,DANE - CITY OF SUN PRAIRIE WARD 21,55025011404,0.9124820659971306
CITY OF SUN PRAIRIE WARD 21,DANE,DANE - CITY OF SUN PRAIRIE WARD 21,55025011405,0.08751793400286945
CITY OF SUN PRAIRIE WARD 22,DANE,DANE - CITY OF SUN PRAIRIE WARD 22,55025011404,1
CITY OF SUN PRAIRIE WARD 23,DANE,DANE - CITY OF SUN PRAIRIE WARD 23,55025011404,1
CITY OF SUN PRAIRIE WARD 24,DANE,DANE - CITY OF SUN PRAIRIE WARD 24,55025011404,0.5217391304347826
CITY OF SUN PRAIRIE WARD 24,DANE,DANE - CITY OF SUN PRAIRIE WARD 24,55025011504,0.4782608695652174
CITY OF SUN PRAIRIE WARD 25,DANE,DANE - CITY OF SUN PRAIRIE WARD 25,55025011504,1
CITY OF SUN PRAIRIE WARD 26,DANE,DANE - CITY OF SUN PRAIRIE WARD 26,55025011504,0.4763779527559055
CITY OF SUN PRAIRIE WARD 26,DANE,DANE - CITY OF SUN PRAIRIE WARD 26,55025011507,0.5236220472440944
CITY OF SUN PRAIRIE WARD 27,DANE,DANE - CITY OF SUN PRAIRIE WARD 27,55025011504,1
CITY OF SUN PRAIRIE WARD 3,DANE,DANE - CITY OF SUN PRAIRIE WARD 3,55025011600,1
CITY OF SUN PRAIRIE WARD 4,DANE,DANE - CITY OF SUN PRAIRIE WARD 4,55025011506,0.5508196721311476
CITY OF SUN PRAIRIE WARD 4,DANE,DANE - CITY OF SUN PRAIRIE WARD 4,55025011600,0.4491803278688525
CITY OF SUN PRAIRIE WARD 5,DANE,DANE - CITY OF SUN PRAIRIE WARD 5,55025011505,1
CITY OF SUN PRAIRIE WARD 6,DANE,DANE - CITY OF SUN PRAIRIE WARD 6,55025011600,1
CITY OF SUN PRAIRIE WARD 7,DANE,DANE - CITY OF SUN PRAIRIE WARD 7,55025011600,1
CITY OF SUN PRAIRIE WARD 8,DANE,DANE - CITY OF SUN PRAIRIE WARD 8,55025011505,0.7822736030828517
CITY OF SUN PRAIRIE WARD 8,DANE,DANE - CITY OF SUN PRAIRIE WARD 8,55025011600,0.21772639691714837
CITY OF SUN PRAIRIE WARD 9,DANE,DANE - CITY OF SUN PRAIRIE WARD 9,55025011508,1
"CITY OF VERONA WARDS 1-3,13",DANE,"DANE - CITY OF VERONA WARDS 1-3,13",55025010802,0.8342105263157895
"CITY OF VERONA WARDS 1-3,13",DANE,"DANE - CITY OF VERONA WARDS 1-3,13",55025010903,0.0015789473684210526
