contest,reporting_unit,candidate,votes,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,IND CORNEL WEST / MELINA ABDULLAH,3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 56,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,DEM KAMALA D. HARRIS / TIM WALZ,407,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,REP DONALD J. TRUMP / JD VANCE,24,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,WGN JILL STEIN / RUDOLPH WARE,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,IND CORNEL WEST / MELINA ABDULLAH,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 57,WRITE-IN:,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,DEM KAMALA D. HARRIS / TIM WALZ,350,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,REP DONALD J. TRUMP / JD VANCE,19,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,IND CORNEL WEST / MELINA ABDULLAH,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 58,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,DEM KAMALA D. HARRIS / TIM WALZ,295,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,REP DONALD J. TRUMP / JD VANCE,8,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,CON RANDALL TERRY / STEPHEN BRODEN,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,IND CORNEL WEST / MELINA ABDULLAH,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 59,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,DEM KAMALA D. HARRIS / TIM WALZ,243,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,REP DONALD J. TRUMP / JD VANCE,10,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,IND CORNEL WEST / MELINA ABDULLAH,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 60,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,DEM KAMALA D. HARRIS / TIM WALZ,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,REP DONALD J. TRUMP / JD VANCE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,IND CORNEL WEST / MELINA ABDULLAH,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 61,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,DEM KAMALA D. HARRIS / TIM WALZ,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,REP DONALD J. TRUMP / JD VANCE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,IND CORNEL WEST / MELINA ABDULLAH,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 62,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,DEM KAMALA D. HARRIS / TIM WALZ,294,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,REP DONALD J. TRUMP / JD VANCE,13,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,IND CORNEL WEST / MELINA ABDULLAH,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 63,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,DEM KAMALA D. HARRIS / TIM WALZ,284,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,REP DONALD J. TRUMP / JD VANCE,13,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,CON RANDALL TERRY / STEPHEN BRODEN,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,IND CORNEL WEST / MELINA ABDULLAH,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 64,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,DEM KAMALA D. HARRIS / TIM WALZ,489,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,REP DONALD J. TRUMP / JD VANCE,71,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,CON RANDALL TERRY / STEPHEN BRODEN,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,IND CORNEL WEST / MELINA ABDULLAH,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 65,WRITE-IN:,3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,DEM KAMALA D. HARRIS / TIM WALZ,347,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,REP DONALD J. TRUMP / JD VANCE,34,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,WGN JILL STEIN / RUDOLPH WARE,3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,IND CORNEL WEST / MELINA ABDULLAH,4,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 66,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,DEM KAMALA D. HARRIS / TIM WALZ,472,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,REP DONALD J. TRUMP / JD VANCE,53,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,IND CORNEL WEST / MELINA ABDULLAH,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",5,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 67,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,DEM KAMALA D. HARRIS / TIM WALZ,245,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,REP DONALD J. TRUMP / JD VANCE,34,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,WGN JILL STEIN / RUDOLPH WARE,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,IND CORNEL WEST / MELINA ABDULLAH,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 68,WRITE-IN:,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,DEM KAMALA D. HARRIS / TIM WALZ,311,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,REP DONALD J. TRUMP / JD VANCE,37,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,CON RANDALL TERRY / STEPHEN BRODEN,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,IND CORNEL WEST / MELINA ABDULLAH,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 69,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,DEM KAMALA D. HARRIS / TIM WALZ,543,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,REP DONALD J. TRUMP / JD VANCE,76,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,WGN JILL STEIN / RUDOLPH WARE,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,IND CORNEL WEST / MELINA ABDULLAH,4,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 70,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,DEM KAMALA D. HARRIS / TIM WALZ,331,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,REP DONALD J. TRUMP / JD VANCE,46,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,IND CORNEL WEST / MELINA ABDULLAH,3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 71,WRITE-IN:,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,DEM KAMALA D. HARRIS / TIM WALZ,286,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,REP DONALD J. TRUMP / JD VANCE,69,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,CON RANDALL TERRY / STEPHEN BRODEN,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,IND CORNEL WEST / MELINA ABDULLAH,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 72,WRITE-IN:,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,DEM KAMALA D. HARRIS / TIM WALZ,312,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,REP DONALD J. TRUMP / JD VANCE,48,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,CON RANDALL TERRY / STEPHEN BRODEN,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,WGN JILL STEIN / RUDOLPH WARE,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,IND CORNEL WEST / MELINA ABDULLAH,3,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 73,WRITE-IN:,2,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,DEM KAMALA D. HARRIS / TIM WALZ,289,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,REP DONALD J. TRUMP / JD VANCE,56,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,CON RANDALL TERRY / STEPHEN BRODEN,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,WGN JILL STEIN / RUDOLPH WARE,1,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,MILWAUKEE,C,MILWAUKEE
PRESIDENT / VICE PRESIDENT,CITY OF MILWAUKEE WARD 74,IND CORNEL WEST / MELINA ABDULLAH,4,MILWAUKEE,C,MILWAUKEE
